complaint_id,timestamp,text_length,gemini_standard_score,gemini_cot_score,gemini_score_difference,gemini_score_change,gemini_standard_confidence,gemini_cot_confidence,gemini_has_reasoning,gemini_red_flags_std,gemini_red_flags_cot,openai_standard_score,openai_cot_score,openai_score_difference,openai_score_change,openai_standard_confidence,openai_cot_confidence,openai_has_reasoning,openai_red_flags_std,openai_red_flags_cot
1306236,2025-12-04T14:19:19.374331,1365,95,95,0,0,98,100,True,14,15,95,95,0,0,95,90,True,9,11
1617882,2025-12-04T14:19:52.245925,2510,95,90,5,-5,98,95,True,17,14,95,90,5,-5,90,95,True,9,11
2060433,2025-12-04T14:20:25.013102,986,95,90,5,-5,98,95,True,13,3,90,95,5,5,95,90,True,4,6
2105037,2025-12-04T14:21:05.742416,2080,95,95,0,0,98,98,True,14,16,95,95,0,0,90,90,True,5,6
2105053,2025-12-04T14:21:42.224585,3015,95,95,0,0,98,100,True,17,16,95,95,0,0,90,90,True,3,8
2317878,2025-12-04T14:22:01.123877,528,95,90,5,-5,98,95,True,4,2,95,95,0,0,90,90,True,2,2
2318180,2025-12-04T14:22:22.876510,1207,95,100,5,5,98,100,True,3,6,85,95,10,10,90,90,True,2,6
2693172,2025-12-04T14:22:48.579199,2971,95,95,0,0,98,95,True,20,21,95,95,0,0,95,90,True,10,9
2949134,2025-12-04T14:23:14.793372,2193,95,95,0,0,90,95,True,7,7,95,95,0,0,90,90,True,3,11
3082144,2025-12-04T14:23:41.931290,1637,95,90,5,-5,98,95,True,12,6,95,90,5,-5,95,90,True,3,7
